x,y,count,duration_ms,start_ms,end_ms,duration_s,start_s,end_s
973.0,532.0,9,50,0,50,0.05,0.0,0.05
721.0,230.0,16,117,150,267,0.117,0.15,0.267
275.0,93.0,14,108,367,475,0.108,0.367,0.475
198.0,111.0,13,79,558,637,0.079,0.558,0.637
1127.0,123.0,32,167,733,900,0.167,0.733,0.9
1170.0,105.0,56,300,925,1225,0.3,0.925,1.225
1259.0,104.0,26,134,1266,1400,0.134,1.266,1.4
1245.0,110.0,16,80,1413,1493,0.08,1.413,1.493
272.0,939.0,22,117,1658,1775,0.117,1.658,1.775
91.0,914.0,25,141,1850,1991,0.141,1.85,1.991
87.0,893.0,21,133,2033,2166,0.133,2.033,2.166
1309.0,70.0,36,195,2266,2461,0.195,2.266,2.461
1213.0,96.0,30,242,2491,2733,0.242,2.491,2.733
1136.0,116.0,19,150,2775,2925,0.15,2.775,2.925
1275.0,138.0,36,291,3050,3341,0.291,3.05,3.341
1230.0,133.0,9,66,3800,3866,0.066,3.8,3.866
1158.0,52.0,19,150,4141,4291,0.15,4.141,4.291
1279.0,65.0,21,166,4333,4499,0.166,4.333,4.499
1155.0,53.0,24,192,4549,4741,0.192,4.549,4.741
1165.0,63.0,53,433,4758,5191,0.433,4.758,5.191
108.0,875.0,17,133,5316,5449,0.133,5.316,5.449
52.0,871.0,20,159,5474,5633,0.159,5.474,5.633
-14.0,899.0,15,117,8196,8313,0.117,8.196,8.313
1091.0,157.0,12,91,8463,8554,0.091,8.463,8.554
1178.0,106.0,96,742,8604,9346,0.742,8.604,9.346
1168.0,124.0,14,92,9371,9463,0.092,9.371,9.463
17.0,897.0,36,275,9554,9829,0.275,9.554,9.829
55.0,931.0,15,117,9854,9971,0.117,9.854,9.971
69.0,897.0,14,103,10685,10788,0.103,10.685,10.788
85.0,912.0,29,233,10846,11079,0.233,10.846,11.079
69.0,944.0,10,66,11521,11587,0.066,11.521,11.587
83.0,952.0,23,175,11912,12087,0.175,11.912,12.087
108.0,926.0,13,84,12137,12221,0.084,12.137,12.221
148.0,879.0,21,158,12354,12512,0.158,12.354,12.512
161.0,889.0,12,92,12537,12629,0.092,12.537,12.629
155.0,909.0,20,159,12662,12821,0.159,12.662,12.821
134.0,883.0,8,58,13487,13545,0.058,13.487,13.545
125.0,918.0,10,59,13570,13629,0.059,13.57,13.629
162.0,907.0,13,100,13729,13829,0.1,13.729,13.829
1775.0,790.0,8,59,14620,14679,0.059,14.62,14.679
1834.0,710.0,12,58,15037,15095,0.058,15.037,15.095
1845.0,776.0,12,60,15137,15197,0.06,15.137,15.197
1889.0,721.0,13,67,15387,15454,0.067,15.387,15.454
1866.0,700.0,23,183,15737,15920,0.183,15.737,15.92
1894.0,674.0,9,67,15945,16012,0.067,15.945,16.012
1362.0,134.0,10,58,16187,16245,0.058,16.187,16.245
1239.0,93.0,13,87,16333,16420,0.087,16.333,16.42
1228.0,119.0,23,150,16445,16595,0.15,16.445,16.595
1218.0,125.0,12,58,16620,16678,0.058,16.62,16.678
